m,bt_time,ilp_time,opt,greed_t,lpc_t,opt_greedy,opt_clp
149,3.888170528411865,0.03991026878356933,10,0.00040237903594970704,0.03240911960601807,11,18
150,0.4192042827606201,0.03499441146850586,10,0.0006581783294677734,0.037572288513183595,11,13
151,20.900305843353273,0.03960847854614258,10,0.0007445096969604492,0.03509664535522461,12,21
152,1.9850374698638915,0.03691644668579101,11,0.0006316184997558593,0.038753700256347653,11,13
153,13.286370658874512,0.036097145080566405,13,0.0007737398147583008,0.03245024681091309,14,14
154,4.309885787963867,0.0352534294128418,10,0.0005644798278808594,0.032032227516174315,12,10
155,1.1788437843322754,0.07346630096435547,10,0.0005891084671020508,0.032908391952514646,10,22
156,27.923989915847777,0.043711614608764646,9,0.0007586002349853516,0.03575797080993652,11,16
157,6.636068344116211,0.03849592208862305,10,0.0008046627044677734,0.03234877586364746,12,10
158,5.399244022369385,0.04005308151245117,9,0.0006329536437988282,0.038687396049499514,11,10
159,4.552032136917115,0.03808560371398926,11,0.0007466554641723632,0.036009478569030764,13,17
160,3.8956603050231933,0.04414525032043457,8,0.0005468606948852539,0.036376333236694335,9,14
161,3.022676944732666,0.03575396537780762,11,0.0005684852600097656,0.033478713035583495,13,11
162,16.404135274887086,0.037307119369506835,12,0.0007331132888793946,0.03253436088562012,14,12
163,42.11917734146118,0.04329714775085449,10,0.00045757293701171876,0.03705766201019287,11,16
164,7.607946395874023,0.03577570915222168,11,0.00040972232818603516,0.03348705768585205,14,11
165,6.821655941009522,0.0532280445098877,12,0.0006991147994995118,0.033933258056640624,12,17
166,16.96092848777771,0.038785123825073244,12,0.0006449699401855468,0.03857870101928711,13,12
167,15.612000894546508,0.04346709251403809,10,0.0006846427917480469,0.03994333744049072,11,15
168,32.121330976486206,0.041281700134277344,11,0.0006849288940429688,0.036612296104431154,14,15
169,2.659869909286499,0.037095165252685545,11,0.0007514715194702149,0.03524322509765625,14,14
170,12.9879864692688,0.03843159675598144,10,0.0008988142013549805,0.05029098987579346,13,13
171,9.56371250152588,0.04307861328125,10,0.0006424427032470703,0.03432738780975342,12,13
172,4.970227241516113,0.03954153060913086,10,0.0005215167999267578,0.03397660255432129,13,13
173,31.41101188659668,0.039995861053466794,11,0.0007415533065795899,0.036161613464355466,12,11
174,9.48427448272705,0.04114084243774414,13,0.0007543325424194336,0.03838405609130859,17,13
175,2.7080501079559327,0.04953532218933106,10,0.0007740974426269532,0.03516297340393067,11,20
176,20.690900897979738,0.03708672523498535,14,0.000810551643371582,0.03361001014709473,14,17
177,2.801054048538208,0.04272866249084473,11,0.0003722190856933594,0.035428190231323244,13,20
178,5.4258629322052006,0.039994335174560545,10,0.0008382797241210938,0.03477621078491211,12,13
179,2.034333372116089,0.03888859748840332,11,0.0006606578826904297,0.03632247447967529,12,15
180,36.47845878601074,0.07031941413879395,11,0.0007937669754028321,0.035828042030334475,14,20
181,2.6078092575073244,0.04075942039489746,11,0.0007009744644165039,0.037828373908996585,12,14
182,0.5752920150756836,0.03755965232849121,15,0.0009505510330200196,0.036629319190979004,16,15
183,132.68863730430604,0.04997382164001465,11,0.000899195671081543,0.03661010265350342,13,18
184,1.1901079654693603,0.03823952674865723,11,0.0005644798278808594,0.039777827262878415,13,14
185,0.10992822647094727,0.04075922966003418,10,0.0007299184799194336,0.03389565944671631,14,10
186,59.70109887123108,0.08227009773254394,11,0.0006834983825683594,0.034328341484069824,11,21
187,75.49129638671874,0.0430084228515625,9,0.0007554292678833008,0.03812611103057861,11,9
188,18.457690477371216,0.04130744934082031,11,0.00044405460357666016,0.03612825870513916,12,21
189,1.3606945037841798,0.05548062324523926,15,0.0007943391799926757,0.03424644470214844,17,16
190,7.920098686218262,0.042109203338623044,10,0.0006967306137084961,0.03686776161193848,12,17
191,27.299816513061522,0.04059271812438965,12,0.000732254981994629,0.03439772129058838,15,15
192,2.2055546283721923,0.0694662094116211,10,0.0005830764770507812,0.03607048988342285,12,20
193,16.179228258132934,0.04438271522521973,12,0.00037965774536132815,0.034253597259521484,13,16
194,6.750522232055664,0.039247894287109376,12,0.0006068944931030273,0.03568625450134277,14,12
195,15.088896083831788,0.03948721885681152,13,0.0008096694946289062,0.033684182167053225,15,15
196,13.669275140762329,0.04079084396362305,10,0.0005478382110595704,0.03516087532043457,12,17
197,4.367853260040283,0.037284469604492186,10,0.0008459329605102539,0.03325605392456055,12,10
198,33.77053508758545,0.04104185104370117,13,0.000972294807434082,0.038831901550292966,15,19
199,15.15818772315979,0.14505300521850586,10,0.0008638143539428711,0.03453397750854492,12,16
