m,greedy,lpc,opt_greedy,opt_clp
368,0.002230215072631836,0.040673685073852536,19,45
369,0.0020094394683837892,0.04168946743011474,18,47
370,0.0019329547882080077,0.040283608436584475,18,46
371,0.0020977258682250977,0.04170324802398682,19,43
372,0.002000260353088379,0.04093072414398193,17,45
373,0.0019880294799804687,0.04118671417236328,18,43
374,0.002083611488342285,0.04071347713470459,19,43
375,0.0020980358123779295,0.041350936889648436,18,46
376,0.0021515846252441405,0.04191908836364746,18,40
377,0.0023842573165893553,0.04106693267822266,19,43
378,0.0019943714141845703,0.04176006317138672,17,43
379,0.002169156074523926,0.040856790542602536,19,40
380,0.0020300626754760744,0.04145987033843994,18,49
381,0.0022374868392944338,0.04162817001342774,19,41
382,0.002275419235229492,0.04053864479064941,19,46
383,0.0022166967391967773,0.041579246520996094,18,41
384,0.002166080474853516,0.04246706962585449,18,46
385,0.0021563291549682615,0.042351913452148435,18,46
386,0.0020679235458374023,0.041929984092712404,18,39
387,0.0020923852920532227,0.042718124389648435,18,47
388,0.002150726318359375,0.041832256317138675,18,42
389,0.0022882699966430666,0.041777300834655764,18,43
390,0.0019364356994628906,0.04267332553863525,18,38
391,0.002048969268798828,0.04314136505126953,18,43
392,0.002005314826965332,0.043009614944458006,18,46
393,0.0022114038467407225,0.04320392608642578,18,46
394,0.0024128198623657227,0.04228739738464356,18,39
395,0.0023792505264282225,0.04235684871673584,19,41
396,0.0021600723266601562,0.042942929267883304,18,47
397,0.0023154020309448242,0.042586135864257815,19,44
398,0.00223689079284668,0.04256813526153565,19,40
399,0.002062535285949707,0.04263753890991211,19,42
400,0.0020624399185180664,0.04248442649841309,18,43
401,0.0023332834243774414,0.043370294570922854,18,43
402,0.00227208137512207,0.04283018112182617,18,43
403,0.002167201042175293,0.04302804470062256,19,38
404,0.0022153615951538085,0.041988563537597653,18,41
405,0.002129077911376953,0.0431708574295044,18,44
406,0.002447962760925293,0.04337100982666016,19,44
407,0.0021656036376953127,0.04373424053192139,18,48
408,0.0023516178131103515,0.043618202209472656,19,44
409,0.002327251434326172,0.04376816749572754,19,45
410,0.0022011280059814455,0.044011712074279785,19,41
411,0.002188968658447266,0.04407267570495606,17,44
412,0.0023461580276489258,0.04396531581878662,18,41
413,0.002485799789428711,0.043319106101989746,18,39
414,0.0023966312408447267,0.044010591506958005,19,44
415,0.0021943092346191407,0.04363088607788086,18,45
416,0.0024947643280029295,0.04304006099700928,19,45
417,0.002391409873962402,0.043210744857788086,19,46
418,0.0023596525192260743,0.04275734424591064,20,43
419,0.0025483131408691405,0.044451570510864256,19,46
420,0.002422475814819336,0.04357750415802002,18,48
421,0.002489185333251953,0.04512031078338623,18,48
422,0.0024586915969848633,0.04371960163116455,18,44
423,0.0022958755493164063,0.04404528141021728,18,43
424,0.0026209115982055663,0.04383780956268311,19,43
425,0.0023107290267944335,0.04317317008972168,18,41
426,0.0023375988006591798,0.04409787654876709,18,42
427,0.0023189783096313477,0.04438109397888183,20,43
428,0.002410149574279785,0.04472525119781494,18,48
429,0.002628731727600098,0.04670462608337402,20,46
430,0.002569842338562012,0.04493129253387451,19,41
431,0.002281451225280762,0.04444000720977783,19,42
432,0.002392268180847168,0.04492278099060058,19,48
433,0.0027780055999755858,0.0431596040725708,18,48
434,0.0025743961334228514,0.044821524620056154,18,45
435,0.0023882150650024413,0.04454429149627685,20,41
436,0.002465033531188965,0.0456273078918457,19,45
437,0.002692437171936035,0.04462389945983887,19,43
438,0.0024398326873779296,0.045371198654174806,19,44
439,0.002176332473754883,0.04547581672668457,20,47
440,0.0027702808380126952,0.04429647922515869,19,45
441,0.00265657901763916,0.043824172019958495,20,40
442,0.002506732940673828,0.04470949172973633,18,42
443,0.0022913455963134766,0.044622397422790526,18,45
444,0.0023856401443481446,0.04451444149017334,18,46
445,0.0023736000061035157,0.04630491733551025,19,46
446,0.002448296546936035,0.04376997947692871,19,44
447,0.0022887945175170898,0.04521121978759766,19,42
448,0.0023363113403320314,0.04439322948455811,19,44
449,0.002490329742431641,0.04500963687896729,19,44
450,0.0025098323822021484,0.0447559118270874,19,46
